Sector,Fuel,Country,2006,2013
adhoc-oil-refining,adhoc-oil-refining,Algeria,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Egypt,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Libya,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Morocco,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Sudan,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Tunisia,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Angola,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Central African Republic,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Congo,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Democratic Republic of Congo,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Equatorial Guinea,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Gabon,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Burundi,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Comoros,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Djibouti,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Eritrea,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Ethiopia,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Kenya,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Madagascar,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Malawi,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Mozambique,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Rwanda,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Somalia,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,South Sudan,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Tanzania,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Uganda,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Zambia,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Botswana,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Lesotho,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Namibia,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,South Africa,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Swaziland,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Zimbabwe,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Benin,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Burkina Faso,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Cameroon,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Cape Verde,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Chad,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Cote dIvoire,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Gambia,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Ghana,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Guinea,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Guinea-Bissau,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Liberia,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Mali,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Mauritania,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Niger,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Nigeria,0.002923514,NaN
adhoc-oil-refining,adhoc-oil-refining,Sao Tome and Principe,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Senegal,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Sierra Leone,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Togo,NaN,NaN
cars,gas_diesel,Algeria,2162.584961,3413.800537
cars,gas_diesel,Egypt,3021.179932,3025.299316
cars,gas_diesel,Libya,1328.052368,1751.327515
cars,gas_diesel,Morocco,950.5747681,1122.560791
cars,gas_diesel,Sudan,513.8793335,693.9251709
cars,gas_diesel,Tunisia,496.4763794,524.1555786
cars,gas_diesel,Angola,337.6873169,677.3850708
cars,gas_diesel,Central African Republic,11.81071568,14.35499001
cars,gas_diesel,Congo,53.25951767,97.00313568
cars,gas_diesel,Democratic Republic of Congo,84.90634918,156.7612915
